example_id,brand,customer_query,llm_predicted_intent,llm_confidence,llm_reasoning,rule_escalate,sentiment_score
amazonhelp_gold_0001,amazonhelp,"@115821 you have to improve shipping, wtf did I pay extra for 1 day shipping?@115817 @118706 @81 all fucking incompetent. U need independence!",order_tracking_delivery,0.95,"The customer is complaining about shipping performance and questioning why they paid extra for 1‑day shipping, indicating a concern about delivery speed and cost. This falls under delivery tracking and shipping issues.",True,-0.7171
amazonhelp_gold_0002,amazonhelp,@AmazonHelp Yes. It's shipped - Tracking details below... https://t.co/akNCIz5Fbh,order_tracking_delivery,0.95,"The user references that the item has shipped and provides a tracking link, indicating an inquiry about the status of a delivery.",False,0.4019
amazonhelp_gold_0003,amazonhelp,@115850 very confusing site u don’t hav any clarification abt ur billing address and shipping address and what d f**k is billing address.,general_feedback_complaint,0.92,"The user expresses frustration and confusion about the lack of clarification regarding billing and shipping addresses on the site, which is a general complaint about the user experience rather than a specific request for a return, refund, billing charge, or technical support.",True,-0.2944
amazonhelp_gold_0004,amazonhelp,@AmazonHelp “Shipped with AMZL US”,order_tracking_delivery,0.9,"The user references “Shipped with AMZL US,” indicating a concern about the shipping method and likely the status or delivery of the order, which falls under order tracking and delivery inquiries.",False,0.0
amazonhelp_gold_0005,amazonhelp,@115850 please unblock my Amazon account __email__ I've mailed several time no rrply from your cis team,account_security_access,0.95,"The customer is requesting to unblock their Amazon account, indicating an issue with account access and security. This falls squarely under the account_security_access intent.",True,0.2023
amazonhelp_gold_0006,amazonhelp,"@AmazonHelp Thanks! I should be working, this contest of yours is going to leave me jobless! 😁",general_feedback_complaint,0.95,"The user expresses dissatisfaction and frustration about a contest, which is a general grievance or complaint about Amazon's services, fitting the ""general_feedback_complaint"" category.",True,0.7418
amazonhelp_gold_0007,amazonhelp,"Dear @116618. When I search a movie title or director and you don't have anything, suggest something similar! It's crazy that I am searching #SofiaCoppola and you're suggesting Thursday Night Football!",digital_services_devices,0.95,"The user is complaining about the search functionality for movies/directors on Amazon’s digital content platform (likely Prime Video), indicating a technical issue with content search suggestions. This falls under the digital services and devices category.",False,0.1984
amazonhelp_gold_0008,amazonhelp,"@AmazonHelp That's not odd, u guys are playing wd customers https://t.co/fz8ReQklRh",general_feedback_complaint,0.95,"The user expresses dissatisfaction and frustration toward Amazon, implying a general complaint or grievance. No specific mention of order tracking, returns, Prime billing, account security, digital devices, or third‑party seller issues.",True,0.7552
amazonhelp_gold_0009,amazonhelp,@AmazonHelp It is a mini iPad 3rd generation,seller_product_inquiry,0.8,"The user references a specific product, a ""mini iPad 3rd generation,"" which aligns with inquiries about third‑party seller products, authenticity, or stock. No other intent category fits the content.",False,0.0
amazonhelp_gold_0010,amazonhelp,"@AmazonHelp I already did, its still say 'return started' since ages ?!",refund_return_cancellation,0.95,"The customer mentions a return status that has been stuck at 'return started' for a long time, indicating a problem with a return process and a request for resolution.",False,0.0
amazonhelp_gold_0011,amazonhelp,"@115850 @115821 Contacted multiple times but still the return is not picked up and surprisingly two different agents have written the exactly same email Line by Line ( notice dates). Only difference is signature, BOTS???? @115851 @AmazonHelp @134682 https://t.co/gCUWEbnZhm",refund_return_cancellation,0.95,"The customer is complaining that a return has not been picked up despite multiple contacts, indicating a return issue. This falls under the ""Returns, Refunds & Order Cancellation"" category.",False,0.5803
amazonhelp_gold_0012,amazonhelp,Excuse me @115821 - how does this work? Different price on the main list than at the point of purchase? https://t.co/6rNK1W3uDv,seller_product_inquiry,0.95,"The customer is asking about a discrepancy between the listed price and the price at the point of purchase, which falls under inquiries about third‑party seller pricing or price matching.",False,0.168
amazonhelp_gold_0013,amazonhelp,@AmazonHelp ok..but ds shud nt happn..i calld support team but asking me to wait till mrn as india post will open in mrn,order_tracking_delivery,0.95,"The user is asking about the status of a delivery and mentions waiting for India Post to open, indicating a concern about when the package will arrive.",False,0.2144
amazonhelp_gold_0014,amazonhelp,@AmazonHelp given the detail. How many time you want the same details. waiting for your call.not delivering will big failure @115851 Pls do needful,order_tracking_delivery,0.95,"The customer complains that their order is not being delivered and is awaiting a call for resolution, indicating a delivery tracking issue.",False,-0.4019
amazonhelp_gold_0015,amazonhelp,@AmazonHelp I would like an email address for escalation,general_feedback_complaint,0.95,"The customer is requesting an escalation email address, indicating a desire to raise a complaint or issue beyond normal support channels. This aligns with the ""General Grievance, CS Escalation & Feedback"" intent.",True,0.3612
amazonhelp_gold_0016,amazonhelp,@115821 how to make a complaint?,general_feedback_complaint,0.95,"The user explicitly asks how to make a complaint, which falls under general grievances and feedback.",True,-0.296
