example_id,brand,customer_query,ground_truth_intent,ground_truth_escalate,escalation_rationale,verified_by_human,sentiment_score,notes
amazonhelp_gold_0001,amazonhelp,"@115821 you have to improve shipping, wtf did I pay extra for 1 day shipping?@115817 @118706 @81 all fucking incompetent. U need independence!",order_tracking_delivery,True,Severe customer dissatisfaction detected (Sentiment: -0.72).,True,-0.7171,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0002,amazonhelp,@AmazonHelp Yes. It's shipped - Tracking details below... https://t.co/akNCIz5Fbh,order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.4019,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0003,amazonhelp,@115850 very confusing site u don’t hav any clarification abt ur billing address and shipping address and what d f**k is billing address.,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,-0.2944,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0004,amazonhelp,@AmazonHelp “Shipped with AMZL US”,order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0005,amazonhelp,@115850 please unblock my Amazon account __email__ I've mailed several time no rrply from your cis team,account_security_access,True,Security Policy: Intent 'account_security_access' requires human agent intervention.,True,0.2023,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0006,amazonhelp,"@AmazonHelp Thanks! I should be working, this contest of yours is going to leave me jobless! 😁",general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.7418,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0007,amazonhelp,"Dear @116618. When I search a movie title or director and you don't have anything, suggest something similar! It's crazy that I am searching #SofiaCoppola and you're suggesting Thursday Night Football!",digital_services_devices,False,Standard customer issue eligible for automated resolution.,True,0.1984,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0008,amazonhelp,"@AmazonHelp That's not odd, u guys are playing wd customers https://t.co/fz8ReQklRh",general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.7552,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0009,amazonhelp,@AmazonHelp It is a mini iPad 3rd generation,seller_product_inquiry,False,Standard customer issue eligible for automated resolution.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0010,amazonhelp,"@AmazonHelp I already did, its still say 'return started' since ages ?!",refund_return_cancellation,False,Standard customer issue eligible for automated resolution.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0011,amazonhelp,"@115850 @115821 Contacted multiple times but still the return is not picked up and surprisingly two different agents have written the exactly same email Line by Line ( notice dates). Only difference is signature, BOTS???? @115851 @AmazonHelp @134682 https://t.co/gCUWEbnZhm",refund_return_cancellation,False,Standard customer issue eligible for automated resolution.,True,0.5803,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
